numER;mLOSmbed2;mLOSmbed3;sLOSmbed2;sLOSmbed3;numPOB;edMV;iMAmbed1;iMAmbed2;iMAmbed3;iSAmbed1;iSAmbed2;iSAmbed3;iSOA;iMV;osuMV;f1EDLWBS;f2EDRMBLKD;f3tEDd;f4tEDa;f5pSUc;f6tSUc;f7nCUo;f8nPCUo;f9nACUo;yOEE1c
16;27486;75552;35334;99552;10;47.15;15;5;16;14;11;39;4;14.64;16656;0.369156571;0.713989143;5521902857;6213748571;0.945083857;3263798571;32461214.29;5026068571;1812724286;0.0666432
12;20286;137952;22482;49824;8;22.13;13;11;12;8;9;46;4;14448;4144;0.360968143;0.780788857;5486027143;1021875714;0.99992;2941638571;30020757.14;5635034286;8501147143;0.043009186
8;23274;129312;30186;117024;2;29.57;9;6;24;9;14;44;3;15184;4048;0.004638013;0.281247857;3672822857;1471321429;0.810457;8020705714;28795342.86;3956011429;5974277143;0.447304429
11;32.13;60192;35514;96.48;4;27.95;6;9;47;7;8;24;4;17648;13.68;0;0.016905714;3558341429;4557997143;0.648421286;3671958571;28596100;6260877143;14088171.43;0.808310571
14;32202;51552;21186;49632;6;44.69;6;10;38;15;8;31;5;19408;17296;0;0.021239014;3490185714;4488971429;0.493064857;1334071429;28176900;1190668571;9597430;0.807839143
18;18738;112.8;20.79;134.88;6;31.97;13;13;27;9;13;40;4;18064;7696;0;0.011817286;3544694286;4544117143;0.737159;3046115714;30651542.86;11247185.71;2813935714;0.813538
24;30.33;137376;23742;84;11;47.63;9;11;44;6;10;42;5;13744;6608;0;0.014318186;3502311429;4657702857;0.925428714;2786084286;22334471.43;8277385714;1002061143;0.806555857
11;35946;54816;35226;68832;3;24.11;10;8;39;12;7;29;5;18416;8432;0;0.014583229;354078;4540117143;0.473000286;2014547143;32807328.57;1315401429;15711071.43;0.810968
20;23094;54048;24.03;56544;5;28.01;10;14;36;10;12;27;6;14544;7984;0;0.009318117;3558795714;4558462857;0.920909571;3287614286;28839357.14;9365630;11020757.14;0.814989714
22;30618;102048;21.87;79.2;4;25.73;14;13;30;8;7;22;3;5.04;11536;0;0.007781519;3567554286;4567298571;0.99992;2819828571;35114714.29;15561114.29;6310902857;0.816019429
